id,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cont0,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,target
48183,A,I,A,A,E,BI,C,AV,L,C,LM,A,A,A,A,B,D,D,B,0.8524721722616101,0.7308775192831416,0.7474890396127928,0.8215627013513709,0.8163121803087364,0.1285634885310153,0.2374253257560588,0.9022109039322604,0.7542535130214956,0.2983287938903635,0.8805206760896308,0
324991,A,M,O,A,H,BI,C,F,AT,A,JK,A,A,A,B,B,B,D,C,0.5514150135965067,0.5750744750176777,0.6904107488234865,0.305487634,0.7272412980779731,0.1910409926182167,0.7362226034121605,0.3716189380245341,0.907704532,0.5280771022966805,0.4177150654353593,0
372502,B,A,A,A,D,AB,A,AH,BC,A,DC,A,A,A,A,B,D,B,B,0.6872070093514441,0.4249157526380096,0.4522588753559536,0.3028060056971343,0.2499027230089772,0.553477304,0.1874173359609196,0.390722761,0.3529683753259236,0.5471939500785655,0.4696412417247914,0
174557,B,L,D,A,E,BI,C,U,AX,A,DP,A,A,A,A,B,D,D,B,0.3298238068406026,0.2939100861843828,0.3568899177633694,0.5554799231328345,0.7926671136618819,0.5552378014487735,0.5273321847699384,0.3769615504939339,0.3212602727304541,0.3038925053221676,0.2936757820052914,0
286131,A,J,A,B,E,BI,A,N,N,A,HJ,A,A,A,B,B,D,D,B,0.6459886343800239,0.4624041371348786,0.8816733546019087,0.6303518949000408,0.6147712018926771,0.5543856484075553,0.2377160747153877,0.7147998342778825,0.4451886887841887,0.2986671959124467,0.6676754683153604,0
289132,A,F,A,B,E,BI,A,S,BM,A,R,A,A,A,A,B,D,D,B,0.5313855538101772,0.6762637695586144,0.6502566128795219,0.6510853717406067,0.7740804261880647,0.4227980663701511,0.6405578371743865,0.5229951895737817,0.4583750313447207,0.3272295744032266,0.5169544757103646,0
176845,A,F,A,A,D,AB,S,AR,X,A,DJ,B,A,A,A,B,D,D,B,0.4719224620937948,0.2895778618592338,0.1928882831383586,0.3555712672163312,0.8245301173638903,0.5546954765791853,0.3295260175241842,0.3743960191466182,0.3571047698486542,0.2685259748523277,0.4614009154653415,0
64720,A,L,Q,B,E,K,C,AF,AK,A,CK,B,A,A,B,D,B,D,D,0.2496417610546759,0.1527333919694562,0.2348292184415489,0.3830470401027834,0.2287054738720349,0.7791741457628959,0.5072275407365261,0.2763452092590595,0.2320446056913108,0.2497690281660125,0.3007148676093557,1
283582,A,G,A,A,F,BI,A,R,E,A,HQ,A,A,A,A,D,C,D,B,0.2568940207965606,0.6817667836043809,0.8404051802962859,0.3545449314812116,0.5880207074813969,0.5547212472745375,0.7058879640318408,0.6902767244042083,0.6902569514836687,0.3088503707945999,0.3945595078852905,0
336429,A,I,A,B,E,AB,E,AH,BM,I,DJ,A,A,A,B,B,B,C,B,0.4595528314513502,0.232531865,0.2575632746006658,0.6603437751894312,0.2350623526851273,0.6216151967626586,0.5183278132652771,0.378234469922212,0.3959027069481813,0.3017672888833962,0.3206400832380662,0
416761,A,L,F,A,J,BI,A,E,H,A,GS,A,A,A,A,B,B,D,B,0.3795588572311121,0.5004551748626468,0.5136145606246243,0.2301026852227944,0.6994023152177535,0.5577714986653513,0.7960046042931891,0.4519736479941258,0.5730433931030303,0.3628749261396208,0.4205866377333611,1
390919,A,M,A,A,E,BI,C,A,K,J,DP,A,A,A,B,B,D,D,B,0.2135494862078031,0.3333172517872287,0.2260173975473508,0.5976512575267475,0.2380124937290733,0.5566127262616329,0.5817877771292133,0.245262601880725,0.3351144612416232,0.2991058037365354,0.2079641762188674,0
